
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
20,1,2013-12-08,35-107,LAL,,TOR,L (-12),1,27:56,2,9,.222,0,3,.000,5,7,.714,1,7,8,4,2,0,8,3,9,1.1,-16
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,2,2013-12-10,35-109,LAL,,PHO,L (-6),1,29:10,6,11,.545,0,2,.000,8,8,1.000,0,2,2,3,0,0,3,2,20,13.6,-3
22,3,2013-12-13,35-112,LAL,@,OKC,L (-25),1,23:09,2,6,.333,0,0,,0,0,,0,1,1,13,2,0,7,1,4,4.6,-16
23,4,2013-12-14,35-113,LAL,@,CHA,W (+3),1,32:14,8,15,.533,2,5,.400,3,3,1.000,0,7,7,8,0,0,7,1,21,14.0,+5
24,5,2013-12-16,35-115,LAL,@,ATL,L (-14),1,32:10,4,14,.286,0,5,.000,0,1,.000,0,3,3,6,2,0,5,1,8,1.1,-4
25,6,2013-12-17,35-116,LAL,@,MEM,W (+4),1,32:38,9,18,.500,1,1,1.000,2,2,1.000,1,4,5,4,1,1,4,1,21,14.0,+2
26,,2013-12-20,35-119,LAL,,MIN,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,,2013-12-21,35-120,LAL,,GSW,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,2013-12-23,35-122,LAL,,PHO,L (-27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,2013-12-25,35-124,LAL,,MIA,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2013-12-27,35-126,LAL,,UTA,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,,2013-12-29,35-128,LAL,,PHI,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
